# DISTANCE:     AVE_GOFR:        ERROR:
     2.19304     1.13721  0.00237626
     2.21869     1.11279  0.00274574
     2.24434     1.08673  0.00360537
     2.26999     1.05631  0.00280555
     2.29564      1.0312  0.00287274
     2.32129     1.00675  0.00186297
     2.34694    0.982102   0.0039086
     2.37259    0.961674  0.00324521
     2.39824    0.942992  0.00186881
     2.42389    0.926182 0.000954939
     2.44954    0.912444  0.00134485
     2.47519    0.902573  0.00130223
     2.50084    0.888416  0.00134806
     2.52649    0.878921  0.00137495
     2.55214     0.88067  0.00173588
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 5.90138e-06 5.52023e-06
    0.884913   0.0012753 0.000129875
    0.910562   0.0240403 0.000416911
    0.936212     0.15927  0.00144954
    0.961861     0.54915  0.00349372
    0.987511     1.17152  0.00524594
     1.01316      1.8275  0.00569787
     1.03881     2.27577  0.00524535
     1.06446     2.49308  0.00621463
     1.09011     2.48425    0.003432
     1.11576      2.3443  0.00674767
     1.14141     2.14736   0.0051207
     1.16706     1.92719  0.00389006
     1.19271     1.71794  0.00468935
     1.21836     1.52587  0.00444595
     1.24401     1.36376  0.00515343
     1.26966     1.21622  0.00431306
     1.29531     1.09676   0.0037881
     1.32096     1.00539  0.00274905
     1.34661    0.925326  0.00409459
     1.37226    0.856817  0.00256802
     1.39791    0.802616  0.00290926
     1.42355    0.765832  0.00234491
      1.4492    0.728585  0.00300113
     1.47485    0.702609  0.00197367
      1.5005    0.683539  0.00225344
     1.52615    0.670838  0.00243497
      1.5518    0.665939  0.00179891
     1.57745    0.664422   0.0020235
      1.6031    0.668122  0.00156291
     1.62875    0.678226    0.002121
      1.6544    0.695281  0.00358155
     1.68005    0.714645  0.00394644
      1.7057    0.738409  0.00320075
     1.73135     0.76756  0.00222325
       1.757    0.800015  0.00277562
     1.78265    0.836022   0.0028433
      1.8083    0.879821  0.00219774
     1.83395    0.918448  0.00350133
      1.8596    0.957614  0.00340584
     1.88525      1.0001  0.00272674
      1.9109     1.04095  0.00276168
     1.93655     1.07563  0.00372106
      1.9622     1.11306  0.00263118
     1.98785     1.14326  0.00257456
      2.0135     1.16751  0.00186658
     2.03915     1.18336   0.0019443
      2.0648     1.19885  0.00277731
     2.09045      1.1974  0.00282743
      2.1161     1.19508  0.00318465
     2.14174     1.18045  0.00221307
     2.16739     1.16007  0.00237785
     2.19304     1.13704  0.00208589
     2.21869     1.11148  0.00270118
     2.24434     1.08511  0.00350015
     2.26999     1.05571  0.00251914
     2.29564     1.03194  0.00260841
     2.32129     1.00583  0.00184297
     2.34694     0.98197  0.00342227
     2.37259      0.9603  0.00311697
     2.39824    0.943477  0.00169684
     2.42389    0.925874 0.000883813
     2.44954    0.912634  0.00119006
     2.47519    0.903713  0.00156078
     2.50084    0.888824  0.00123989
     2.52649    0.879334  0.00126361
     2.55214    0.881221  0.00160413
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 5.24567e-06 4.94567e-06
    0.884913  0.00124251 0.000119514
    0.910562   0.0236947 0.000493501
    0.936212    0.159508  0.00130798
    0.961861    0.548564  0.00315426
    0.987511     1.17187  0.00467451
     1.01316     1.82268  0.00680942
     1.03881     2.27454  0.00480513
     1.06446     2.49258  0.00554414
     1.09011     2.48555  0.00328767
     1.11576     2.34692  0.00648617
     1.14141     2.14726  0.00455272
     1.16706     1.92755  0.00347488
     1.19271      1.7183  0.00418218
     1.21836     1.52716  0.00413442
     1.24401     1.36496  0.00471798
     1.26966     1.21679  0.00387128
     1.29531     1.09722  0.00339468
     1.32096     1.00559  0.00245057
     1.34661    0.925305  0.00363969
     1.37226    0.855921    0.002434
     1.39791    0.802995   0.0026106
     1.42355    0.765266  0.00215156
      1.4492    0.727668  0.00280405
     1.47485    0.702238  0.00178897
      1.5005    0.682874  0.00209896
     1.52615    0.670263  0.00223129
      1.5518    0.665625   0.0016262
     1.57745      0.6643  0.00180235
      1.6031    0.668307   0.0014001
     1.62875    0.678058  0.00189194
      1.6544    0.694621  0.00324372
     1.68005     0.71459  0.00350833
      1.7057     0.73851  0.00284669
     1.73135    0.766673  0.00214608
       1.757    0.799514  0.00251206
     1.78265    0.836641  0.00259397
      1.8083    0.879275  0.00202017
     1.83395    0.918201  0.00312095
      1.8596    0.958221    0.003081
     1.88525    0.999478   0.0024945
      1.9109      1.0405  0.00249169
     1.93655     1.07562  0.00330762
      1.9622     1.11355  0.00238389
     1.98785     1.14446  0.00255418
      2.0135     1.16795  0.00171105
     2.03915     1.18437  0.00197113
      2.0648     1.20013  0.00274491
     2.09045     1.19892    0.002893
      2.1161     1.19603  0.00296976
     2.14174     1.18059  0.00197189
     2.16739     1.16115  0.00234687
     2.19304     1.13777  0.00197928
     2.21869     1.11184  0.00242496
     2.24434     1.08486  0.00311991
     2.26999     1.05584  0.00224291
     2.29564     1.03103   0.0024712
     2.32129     1.00488  0.00187071
     2.34694    0.981803  0.00304609
     2.37259    0.959255   0.0029406
     2.39824    0.943147  0.00154008
     2.42389    0.924782  0.00129518
     2.44954    0.911598  0.00143953
     2.47519    0.902633  0.00172105
     2.50084    0.888386    0.001177
     2.52649    0.878518  0.00136141
     2.55214    0.880685  0.00151275
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263  4.7211e-06 4.47883e-06
    0.884913  0.00119845 0.000115397
    0.910562    0.023755 0.000447827
    0.936212    0.159528  0.00117733
    0.961861    0.547755  0.00294071
    0.987511     1.17088  0.00431045
     1.01316     1.81773   0.0077209
     1.03881     2.27366  0.00440424
     1.06446     2.49158  0.00507961
     1.09011     2.48744  0.00345836
     1.11576     2.34721  0.00584445
     1.14141      2.1504  0.00507047
     1.16706     1.92868  0.00330682
     1.19271     1.71951  0.00393385
     1.21836     1.52743  0.00372965
     1.24401     1.36479   0.0042493
     1.26966     1.21699  0.00348944
     1.29531     1.09766  0.00308404
     1.32096     1.00502   0.0022699
     1.34661    0.925165  0.00327841
     1.37226    0.856432  0.00224359
     1.39791    0.804126  0.00258312
     1.42355    0.765379  0.00193937
      1.4492    0.728578   0.0026672
     1.47485    0.702903  0.00172926
      1.5005    0.683577  0.00200343
     1.52615    0.670315  0.00200878
      1.5518    0.664933  0.00160432
     1.57745    0.662734  0.00219959
      1.6031    0.667193  0.00164423
     1.62875    0.677392  0.00181607
      1.6544    0.694113  0.00295888
     1.68005    0.713864  0.00323169
