# DISTANCE:     AVE_GOFR:        ERROR:
     2.03915     1.18259   0.0145702
      2.0648     1.19318   0.0100935
     2.09045     1.20643  0.00370099
      2.1161     1.19588  0.00489447
     2.14174     1.17565  0.00621962
     2.16739     1.16259  0.00480305
     2.19304     1.13893  0.00455364
     2.21869      1.1159  0.00846278
     2.24434     1.08002  0.00740329
     2.26999     1.05592  0.00671392
     2.29564     1.02518  0.00546523
     2.32129     1.00818  0.00502278
     2.34694     0.97982  0.00545732
     2.37259    0.953229  0.00593628
     2.39824    0.932233   0.0057837
     2.42389     0.91069  0.00618799
     2.44954    0.896934  0.00588078
     2.47519     0.88302  0.00528249
     2.50084    0.881292  0.00576157
     2.52649    0.878523  0.00511085
     2.55214    0.882325  0.00506604
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913   0.0012029 0.000338461
    0.910562   0.0272401  0.00150105
    0.936212    0.174972  0.00464389
    0.961861    0.572581    0.011353
    0.987511      1.1879   0.0104011
     1.01316     1.84483   0.0124377
     1.03881     2.28242  0.00969366
     1.06446     2.47203   0.0135518
     1.09011     2.48522   0.0186193
     1.11576     2.33821   0.0159642
     1.14141     2.14502   0.0218595
     1.16706     1.89365   0.0154452
     1.19271     1.71305   0.0136583
     1.21836     1.51844  0.00979237
     1.24401     1.34507  0.00726278
     1.26966     1.22671   0.0105765
     1.29531     1.10068   0.0102353
     1.32096    0.994166  0.00603053
     1.34661    0.923339  0.00807267
     1.37226    0.853355  0.00592304
     1.39791    0.787916  0.00301574
     1.42355    0.756368  0.00722127
      1.4492    0.731562   0.0113472
     1.47485    0.711832  0.00584743
      1.5005    0.684101  0.00921206
     1.52615    0.669006  0.00903858
      1.5518    0.656323  0.00475925
     1.57745    0.664003  0.00595442
      1.6031    0.675367  0.00359649
     1.62875    0.683247  0.00396308
      1.6544    0.683947  0.00830882
     1.68005    0.709886  0.00622787
      1.7057    0.740689  0.00572593
     1.73135    0.772313  0.00707905
       1.757    0.807775  0.00513136
     1.78265    0.840416  0.00589496
      1.8083    0.868358  0.00558659
     1.83395    0.922104   0.0081599
      1.8596    0.979749  0.00579164
     1.88525     1.01421  0.00823904
      1.9109     1.04506  0.00666429
     1.93655     1.08203  0.00509612
      1.9622     1.12339  0.00674268
     1.98785     1.14728  0.00371658
      2.0135      1.1626  0.00459249
     2.03915     1.18396   0.0125538
      2.0648     1.19622  0.00909634
     2.09045     1.20699  0.00321315
      2.1161      1.1956  0.00420309
     2.14174     1.17635  0.00537125
     2.16739     1.16166  0.00420561
     2.19304     1.13925  0.00391438
     2.21869     1.11604  0.00725497
     2.24434     1.08102  0.00641232
     2.26999     1.05689  0.00582447
     2.29564     1.02847  0.00558898
     2.32129     1.01098  0.00502202
     2.34694    0.978811   0.0047701
     2.37259    0.955162  0.00539377
     2.39824    0.933135  0.00502732
     2.42389    0.911365  0.00534059
     2.44954     0.89772  0.00509296
     2.47519    0.886264  0.00543367
     2.50084    0.883457  0.00532969
     2.52649     0.87829  0.00438605
     2.55214    0.881711  0.00437931
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
