# VELOCITY:     AVE_POFV:        ERROR:
     2.47487    0.316761    0.474187
     2.71058    0.238342    0.167954
     2.94628    0.161736     0.19229
     3.18198    0.104467    0.222409
     3.41768   0.0890885     0.15791
     3.65339   0.0537286    0.140923
     3.88909   0.0289151   0.0917854
     4.12479   0.0125338   0.0635004
     4.36049  0.00654074   0.0742778
     4.59619  0.00119007   0.0171299
      4.8319 0.000383594  0.00526316
      5.0676 0.000160601  0.00396617
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00876572    0.043187
    0.353553   0.0648487    0.211079
    0.589256    0.148982    0.284337
    0.824958    0.291265     0.35103
     1.06066    0.401122     0.33222
     1.29636    0.453516    0.347314
     1.53206     0.48829    0.563053
     1.76777    0.501399    0.415299
     2.00347    0.440697    0.393406
     2.23917    0.424344    0.461012
     2.47487    0.315393    0.449121
     2.71058    0.242606    0.190495
     2.94628    0.165154    0.200333
     3.18198    0.105146    0.210724
     3.41768   0.0861961    0.165415
     3.65339    0.053404    0.133336
     3.88909   0.0290732   0.0867744
     4.12479   0.0123525     0.06014
     4.36049  0.00633122   0.0703425
     4.59619    0.003242   0.0532777
      4.8319 0.000362283  0.00499865
      5.0676 0.000151679  0.00375233
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00833538   0.0422805
    0.353553   0.0641038     0.20082
    0.589256     0.14849    0.269648
    0.824958    0.292312    0.333566
     1.06066    0.397228    0.329191
     1.29636    0.457764    0.345455
     1.53206    0.493513    0.548892
     1.76777    0.505456    0.406083
     2.00347      0.4399    0.373223
     2.23917    0.416079    0.482375
     2.47487    0.311095    0.438605
     2.71058    0.242776    0.180519
     2.94628    0.165941    0.190787
     3.18198    0.107742    0.209737
     3.41768   0.0866836    0.157174
     3.65339   0.0533101    0.126339
     3.88909   0.0291506   0.0822297
     4.12479   0.0121366   0.0572254
     4.36049   0.0061479   0.0667949
     4.59619  0.00362444   0.0513554
      4.8319 0.000709174  0.00981314
      5.0676 0.000143696  0.00356033
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00933774   0.0472425
    0.353553   0.0622333    0.196343
    0.589256     0.15056     0.26126
    0.824958    0.295635     0.32744
     1.06066    0.394844    0.318276
     1.29636    0.457677    0.328189
     1.53206    0.494972    0.522702
     1.76777    0.504448    0.386589
     2.00347    0.438667    0.355878
     2.23917    0.414031    0.461065
     2.47487    0.308656    0.421045
     2.71058    0.244203    0.175108
     2.94628    0.167516    0.185412
     3.18198    0.106699    0.200921
     3.41768   0.0881644    0.153769
     3.65339   0.0519763    0.124501
     3.88909   0.0299735   0.0807422
     4.12479   0.0123999   0.0547553
     4.36049  0.00611255   0.0634612
     4.59619  0.00372508   0.0488515
      4.8319 0.000673716   0.0093639
      5.0676 0.000136511  0.00338701
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
